best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.3662389887939012}
